# This file is generated by MACS version 2.1.1.20160309
# Command line: callpeak -t GSM1018048_sora_H3K4me3.bed -f BED --nomodel
# ARGUMENTS LIST:
# name = NA
# format = BED
# ChIP-seq file = ['GSM1018048_sora_H3K4me3.bed']
# control file = None
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 10000 bps
# Broad region calling is off
# Paired-End mode is off

# tag size is determined as 150 bps
# total tags in treatment: 18115973
# tags after filtering in treatment: 18115972
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.00
# d = 200
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	948281	949299	1019	948693	83.00	75.15396	15.84906	71.92149	NA_peak_19
chr1	955053	955270	218	955177	57.00	18.50504	3.98900	16.18325	NA_peak_20
chr1	955587	957101	1515	956485	102.00	51.35902	6.76741	48.59147	NA_peak_21
chr1	994274	995664	1391	995318	119.00	74.25574	9.18836	71.04478	NA_peak_22
chr1	1004181	1005185	1005	1004631	140.00	117.26675	15.16129	112.64326	NA_peak_23
chr1	1015015	1015946	932	1015517	32.00	29.27284	11.78571	26.81412	NA_peak_24
chr1	1050646	1051563	918	1051366	116.00	79.07425	10.46512	75.74538	NA_peak_25
chr1	1051741	1052416	676	1052148	62.00	28.15522	5.63506	25.71067	NA_peak_26
chr1	1057444	1057950	507	1057487	13.00	9.69456	5.97799	7.50379	NA_peak_27
chr1	1092829	1093639	811	1093051	73.00	69.46664	16.74208	66.36314	NA_peak_28
chr1	1100526	1100957	432	1100690	8.00	4.93132	3.84299	2.85145	NA_peak_29
chr1	1136671	1137298	628	1137064	54.00	56.49710	17.85714	53.64400	NA_peak_30
chr1	1166292	1167434	1143	1167016	118.00	81.11404	10.62500	77.73302	NA_peak_31
chr1	1208193	1209998	1806	1209553	138.00	87.20298	9.50752	83.65608	NA_peak_32
chr1	1242668	1243289	622	1242884	64.00	23.00995	4.44596	20.63005	NA_peak_33
chr1	1243465	1244700	1236	1243658	129.00	77.93887	8.84354	74.63819	NA_peak_34
chr1	1259557	1260969	1413	1259922	130.00	85.72536	10.07692	82.22001	NA_peak_35
chr1	1283224	1284512	1289	1284360	90.00	45.51402	6.71091	42.83637	NA_peak_36
chr1	1285024	1285414	391	1285245	81.00	39.37885	6.31741	36.78804	NA_peak_37
chr1	1290750	1291335	586	1291095	43.00	38.86526	13.01775	36.28138	NA_peak_38
chr1	1309872	1310672	801	1310375	118.00	71.81773	8.85417	68.66230	NA_peak_39
chr1	1310964	1311568	605	1311212	101.00	55.59547	7.57801	52.75770	NA_peak_40
chr1	1333833	1334732	900	1334517	129.00	68.22846	7.36961	65.15138	NA_peak_41
chr1	1334936	1335719	784	1335145	147.00	84.98954	8.40909	81.50451	NA_peak_42
chr1	1341930	1343623	1694	1342465	126.00	72.91027	8.30065	69.73012	NA_peak_43
chr1	1362790	1363436	647	1363269	62.00	56.67833	14.92891	53.82208	NA_peak_44
chr1	1370677	1371965	1289	1371490	79.00	58.64356	11.26761	55.75312	NA_peak_45
chr1	1440604	1440999	396	1440854	21.00	18.79750	9.39399	16.47151	NA_peak_46
chr1	1446566	1448167	1602	1447266	144.00	102.36153	11.47152	98.32882	NA_peak_47
chr1	1509091	1510059	969	1509798	152.00	86.93523	8.30619	83.39607	NA_peak_48
chr1	1510316	1510982	667	1510554	150.00	85.11679	8.20652	81.62828	NA_peak_49
chr1	1534918	1535346	429	1535170	9.00	5.43798	4.03226	3.34722	NA_peak_50
chr1	1535621	1536001	381	1535802	25.00	22.79714	10.48387	20.41995	NA_peak_51
chr1	1550196	1552073	1878	1551055	173.00	121.04990	11.38743	116.25568	NA_peak_52
chr1	1590320	1591158	839	1590604	110.00	106.31120	19.00685	102.13696	NA_peak_53
chr1	1617891	1618233	343	1618021	11.00	7.68347	5.12399	5.53241	NA_peak_54
chr1	1623725	1624613	889	1623890	53.00	45.58747	12.91866	42.90876	NA_peak_55
chr1	1655171	1656353	1183	1655700	113.00	108.87502	19.00000	104.60217	NA_peak_56
chr1	1677002	1678068	1067	1677686	88.00	75.86519	14.73510	72.61545	NA_peak_57
chr1	1709026	1710695	1670	1709576	104.00	64.09246	8.88325	61.09981	NA_peak_58
chr1	1820876	1822258	1383	1821702	112.00	53.11558	6.34831	50.31948	NA_peak_59
chr1	1822638	1823420	783	1822795	124.00	63.23331	7.00673	60.25756	NA_peak_60
chr1	1839843	1840617	775	1840464	107.00	85.48824	13.39950	81.98932	NA_peak_61
chr1	1840775	1841229	455	1840972	57.00	32.15139	7.19603	29.65598	NA_peak_62
chr1	1850211	1850923	713	1850535	85.00	67.09846	12.60997	64.04510	NA_peak_63
chr1	1851153	1851561	409	1851341	54.00	33.51295	8.06452	31.00004	NA_peak_64
chr1	1875556	1875904	349	1875805	19.00	16.38577	8.53999	14.09208	NA_peak_65
chr1	1891299	1891626	328	1891457	18.00	15.21100	8.11299	12.93361	NA_peak_66
chr1	1976105	1976344	240	1976227	16.00	9.34168	5.15152	7.15926	NA_peak_67
chr1	1981091	1981694	604	1981516	112.00	76.83264	10.52142	73.55942	NA_peak_68
chr1	1981987	1982634	648	1982304	103.00	67.72858	9.75610	64.66214	NA_peak_69
chr1	2064282	2065398	1117	2064571	56.00	39.82414	9.82759	37.22729	NA_peak_70
chr1	2120756	2121521	766	2121328	63.00	35.72118	7.37327	33.17940	NA_peak_71
chr1	2125771	2126851	1081	2126432	113.00	77.71562	10.57514	74.42056	NA_peak_72
chr1	2130974	2131261	288	2131090	48.00	24.29685	6.10973	21.90089	NA_peak_73
chr1	2136109	2136308	200	2136222	22.00	9.18175	4.15162	7.00195	NA_peak_74
chr1	2136734	2137220	487	2136939	93.00	87.61952	17.47212	84.06068	NA_peak_75
chr1	2143657	2144719	1063	2144531	20.00	13.65482	6.68790	11.40068	NA_peak_76
chr1	2158329	2159106	778	2158940	131.00	81.66385	9.26966	78.26821	NA_peak_77
chr1	2160243	2161168	926	2160742	49.00	13.62594	3.43407	11.37224	NA_peak_78
chr1	2161378	2161734	357	2161682	30.00	4.22237	2.06667	2.16920	NA_peak_79
chr1	2245775	2246945	1171	2246558	110.00	88.18039	13.53659	84.60520	NA_peak_80
chr1	2322384	2323023	640	2322834	107.00	59.79035	7.78098	56.87935	NA_peak_81
chr1	2323296	2324235	940	2323813	105.00	58.07228	7.65896	55.19187	NA_peak_82
chr1	2343313	2344038	726	2343684	112.00	68.98008	8.95404	65.88706	NA_peak_83
chr1	2344230	2344976	747	2344399	101.00	58.32647	8.08241	55.44171	NA_peak_84
chr1	2374792	2375088	297	2374932	19.00	14.20238	7.24638	11.93965	NA_peak_85
chr1	2375342	2375873	532	2375626	24.00	19.55950	8.92857	17.22383	NA_peak_86
chr1	2383690	2384113	424	2383830	8.00	4.93132	3.84299	2.85145	NA_peak_87
chr1	2398940	2399199	260	2399092	17.00	14.05834	7.68599	11.79753	NA_peak_88
chr1	2457102	2458349	1248	2457520	120.00	95.32539	13.50446	91.53295	NA_peak_89
chr1	2477353	2477556	204	2477495	31.00	11.69898	4.12371	9.47551	NA_peak_90
chr1	2477857	2478960	1104	2478036	92.00	69.89273	12.01550	66.77996	NA_peak_91
chr1	2517041	2519006	1966	2517669	116.00	67.37854	8.27440	64.31927	NA_peak_92
chr1	2573710	2575118	1409	2574501	131.00	93.27561	11.37931	89.54810	NA_peak_93
chr1	2985151	2985948	798	2985408	52.00	28.40286	6.79487	25.95524	NA_peak_94
chr1	2986135	2986857	723	2986697	53.00	29.42522	6.95876	26.96457	NA_peak_95
chr1	3370737	3371947	1211	3371414	95.00	79.60721	14.24332	76.26482	NA_peak_96
chr1	3447004	3447938	935	3447493	74.00	57.57394	11.98083	54.70231	NA_peak_97
chr1	3527633	3528658	1026	3528040	41.00	32.38011	10.50000	29.88182	NA_peak_98
chr1	3540506	3541410	905	3541180	136.00	88.95258	10.00000	85.35515	NA_peak_99
chr1	3541579	3542297	719	3541760	81.00	37.56122	5.97668	34.99483	NA_peak_100
chr1	3565988	3566713	726	3566486	119.00	96.01625	13.85681	92.20206	NA_peak_101
chr1	3568655	3569066	412	3568983	28.00	8.62809	3.38785	6.46060	NA_peak_102
chr1	3612094	3612692	599	3612509	35.00	33.14083	12.85714	30.63272	NA_peak_103
chr1	3663487	3664417	931	3664169	92.00	71.95522	12.60163	68.79666	NA_peak_104
chr1	3688541	3689821	1281	3688914	109.00	90.08163	14.24870	86.45119	NA_peak_105
chr1	3712196	3713740	1545	3713386	115.00	78.37653	10.45045	75.06473	NA_peak_106
chr1	3772968	3774608	1641	3773713	125.00	76.31599	8.94886	73.05531	NA_peak_107
chr1	3816089	3817926	1838	3817704	155.00	88.55349	8.30671	84.96760	NA_peak_108
chr1	4715935	4716760	826	4716274	35.00	29.90736	11.11111	27.44060	NA_peak_109
chr1	5023218	5023417	200	5023304	11.00	7.68347	5.12399	5.53241	NA_peak_110
chr1	6051453	6052566	1114	6052415	120.00	63.84776	7.37805	60.85993	NA_peak_111
chr1	6052743	6053462	720	6052902	90.00	38.63263	5.54202	36.05193	NA_peak_112
chr1	6085615	6086284	670	6086128	38.00	33.17540	11.81818	30.66692	NA_peak_113
chr1	6208583	6209268	686	6208738	33.00	30.70629	12.23022	28.22939	NA_peak_114
chr1	6239246	6239649	404	6239451	26.00	18.51029	7.80347	16.18844	NA_peak_115
chr1	6239959	6240556	598	6240082	23.00	15.13349	6.77966	12.85799	NA_peak_116
chr1	6258667	6259703	1037	6259474	144.00	96.78960	10.49204	92.94959	NA_peak_117
chr1	6259859	6260211	353	6260081	67.00	23.55237	4.37580	21.16584	NA_peak_118
chr1	6264858	6265379	522	6265241	67.00	22.04391	4.11622	19.67638	NA_peak_119
chr1	6265532	6266968	1437	6265914	131.00	73.93053	8.04878	70.72710	NA_peak_120
chr1	6295215	6296023	809	6295537	109.00	78.59673	11.34021	75.27988	NA_peak_121
chr1	6296182	6296604	423	6296357	111.00	80.60696	11.49897	77.23901	NA_peak_122
chr1	6305393	6306252	860	6305940	40.00	27.62055	8.64979	25.18287	NA_peak_123
chr1	6320107	6320987	881	6320408	73.00	49.08502	9.56072	46.35320	NA_peak_124
chr1	6321214	6321622	409	6321479	37.00	16.15605	4.93507	13.86609	NA_peak_125
chr1	6413924	6414277	354	6414209	10.00	6.72795	4.69699	4.59850	NA_peak_126
chr1	6445473	6446629	1157	6446322	44.00	34.36695	10.56338	31.84296	NA_peak_127
chr1	6452656	6454404	1749	6454082	99.00	69.24741	10.66098	66.14864	NA_peak_128
chr1	6479334	6480276	943	6479913	86.00	63.33071	11.29870	60.35301	NA_peak_129
chr1	6484463	6485068	606	6484651	32.00	16.37442	5.65069	14.08153	NA_peak_130
chr1	6500348	6501025	678	6500768	65.00	69.60592	19.87952	66.49928	NA_peak_131
chr1	6550158	6551658	1501	6550348	116.00	69.71317	8.67953	66.60430	NA_peak_132
chr1	6556844	6558096	1253	6557782	98.00	75.65820	12.46851	72.41356	NA_peak_133
chr1	6613667	6615021	1355	6614226	118.00	85.29607	11.50870	81.80276	NA_peak_134
chr1	6639631	6640857	1227	6640253	131.00	99.75967	12.71676	95.81867	NA_peak_135
chr1	6660834	6661289	456	6661091	91.00	30.66919	4.33962	28.19278	NA_peak_136
chr1	6661467	6662996	1530	6661885	124.00	54.80284	5.89623	51.97857	NA_peak_137
chr1	6663181	6663503	323	6663330	72.00	18.94909	3.43691	16.62119	NA_peak_138
chr1	6672742	6673515	774	6673139	114.00	49.67157	5.76152	46.93067	NA_peak_139
chr1	6673850	6675500	1651	6674513	107.00	44.51321	5.44355	41.85020	NA_peak_140
chr1	6684909	6686257	1349	6685906	73.00	46.68022	8.89423	43.98513	NA_peak_141
chr1	6760984	6762295	1312	6761520	121.00	89.91019	12.07921	86.28471	NA_peak_142
chr1	6844040	6845114	1075	6844424	124.00	75.78050	8.95415	72.53286	NA_peak_143
chr1	6845990	6846550	561	6846293	77.00	33.86543	5.59541	31.34801	NA_peak_144
chr1	7021903	7023186	1284	7022287	99.00	72.83958	11.54734	69.66113	NA_peak_145
chr1	7023461	7023858	398	7023617	65.00	37.78383	7.65661	35.21453	NA_peak_146
chr1	7326010	7326314	305	7326176	19.00	16.38577	8.53999	14.09208	NA_peak_147
chr1	7359808	7360075	268	7359877	8.00	4.93132	3.84299	2.85145	NA_peak_148
chr1	7609631	7610005	375	7609770	13.00	9.69456	5.97799	7.50379	NA_peak_149
chr1	7729715	7730147	433	7729873	34.00	36.11007	14.94498	33.56300	NA_peak_150
chr1	7740116	7741244	1129	7740412	108.00	84.35882	12.91469	80.89117	NA_peak_151
chr1	7763770	7764187	418	7763979	57.00	37.12220	8.70871	34.56176	NA_peak_152
chr1	7765091	7765534	444	7765257	61.00	41.50190	9.39394	38.88189	NA_peak_153
chr1	7812744	7813298	555	7812934	38.00	39.64806	15.35433	37.05354	NA_peak_154
chr1	7830825	7832182	1358	7831140	129.00	88.05357	10.62092	84.48253	NA_peak_155
chr1	7843215	7843963	749	7843538	117.00	78.95821	10.31469	75.63232	NA_peak_156
chr1	7844439	7844990	552	7844659	86.00	48.17614	7.60490	45.45838	NA_peak_157
chr1	7962685	7963034	350	7962847	27.00	26.47001	11.95598	24.04670	NA_peak_158
chr1	8000305	8001174	870	8000784	38.00	31.84768	11.14286	29.35627	NA_peak_159
chr1	8013747	8014950	1204	8014551	113.00	81.39378	11.37725	78.00523	NA_peak_160
chr1	8021000	8022585	1586	8021351	131.00	81.89839	9.30889	78.49665	NA_peak_161
chr1	8064567	8065908	1342	8065197	27.00	19.93653	8.28402	17.59608	NA_peak_162
chr1	8085075	8086314	1240	8085541	123.00	41.24675	4.42225	38.63026	NA_peak_163
chr1	8086571	8087475	905	8086914	97.00	26.37037	3.61891	23.94839	NA_peak_164
chr1	8107890	8108146	257	8107967	9.00	5.80944	4.26999	3.70347	NA_peak_165
chr1	8121730	8122569	840	8122011	28.00	24.43089	10.43165	22.03330	NA_peak_166
chr1	8156156	8156490	335	8156308	11.00	5.48710	3.77358	3.39541	NA_peak_167
chr1	8157026	8157414	389	8157221	13.00	7.32670	4.54545	5.18626	NA_peak_168
chr1	8242405	8243024	620	8242524	13.00	9.69456	5.97799	7.50379	NA_peak_169
chr1	8272291	8272490	200	8272386	12.00	8.67317	5.55099	6.50171	NA_peak_170
chr1	8319258	8319951	694	8319762	16.00	12.83758	7.20339	10.59604	NA_peak_171
chr1	8377888	8378780	893	8378364	83.00	70.36673	14.14141	67.24341	NA_peak_172
chr1	8403705	8404196	492	8403873	33.00	34.09212	14.16667	31.57173	NA_peak_173
chr1	8483068	8484560	1493	8483628	102.00	71.06008	10.64050	67.92138	NA_peak_174
chr1	8585707	8586278	572	8586138	20.00	17.58159	8.96699	15.27173	NA_peak_175
chr1	8761349	8763533	2185	8763188	96.00	44.53565	6.09296	41.87234	NA_peak_176
chr1	8772150	8773325	1176	8772714	43.00	29.63079	8.80000	27.16757	NA_peak_177
chr1	8876921	8878594	1674	8877555	129.00	75.84764	8.50785	72.59833	NA_peak_178
chr1	8889658	8890027	370	8889848	17.00	14.05834	7.68599	11.79753	NA_peak_179
chr1	8936969	8939262	2294	8938617	130.00	57.48971	5.92224	54.61952	NA_peak_180
chr1	8950019	8951004	986	8950597	35.00	30.17219	11.25000	27.70208	NA_peak_181
chr1	8968340	8968789	450	8968640	11.00	7.68347	5.12399	5.53241	NA_peak_182
chr1	9187958	9189156	1199	9188678	115.00	62.11271	7.49354	59.15861	NA_peak_183
chr1	9189373	9189898	526	9189544	103.00	51.40968	6.70103	48.64137	NA_peak_184
chr1	9223446	9224141	696	9223990	28.00	26.31066	11.50794	23.88947	NA_peak_185
chr1	9241172	9243103	1932	9242172	126.00	58.33044	6.23160	55.44559	NA_peak_186
chr1	9261837	9262232	396	9262098	25.00	23.84539	11.10198	21.45496	NA_peak_187
chr1	9294281	9295888	1608	9295384	112.00	76.28332	10.40516	73.02339	NA_peak_188
chr1	9340664	9340863	200	9340761	12.00	8.67317	5.55099	6.50171	NA_peak_189
chr1	9352224	9352794	571	9352523	71.00	20.94573	3.76569	18.59223	NA_peak_190
chr1	9353445	9354645	1201	9353879	132.00	66.42371	6.92708	63.38410	NA_peak_191
chr1	9362694	9363244	551	9363074	14.00	10.32573	6.14754	8.12510	NA_peak_192
chr1	9488675	9489647	973	9489361	103.00	92.32510	16.30094	88.62719	NA_peak_193
chr1	9555127	9555793	667	9555320	23.00	20.19115	9.60000	17.84720	NA_peak_194
chr1	9599573	9600550	978	9600038	116.00	95.65633	14.33824	91.85352	NA_peak_195
chr1	9648398	9648668	271	9648539	58.00	35.81505	8.12672	33.27202	NA_peak_196
chr1	9648869	9649841	973	9649038	68.00	45.94772	9.50413	43.26355	NA_peak_197
chr1	9686628	9687529	902	9687099	100.00	99.84594	19.80392	95.90205	NA_peak_198
chr1	9711756	9712704	949	9712407	32.00	25.51382	9.76331	23.10256	NA_peak_199
chr1	9747302	9748542	1241	9748032	97.00	37.51265	4.99490	34.94699	NA_peak_200
chr1	9749151	9749505	355	9749353	100.00	39.62863	5.13733	37.03441	NA_peak_201
chr1	9749662	9750448	787	9749792	88.00	31.10989	4.52696	28.62784	NA_peak_202
chr1	9882750	9883982	1233	9883366	106.00	54.67297	7.00262	51.85091	NA_peak_203
chr1	9884304	9884753	450	9884447	80.00	33.47151	5.32195	30.95913	NA_peak_204
chr1	9969520	9970130	611	9969901	100.00	67.82167	10.18145	64.75327	NA_peak_205
chr1	9970722	9971256	535	9970917	118.00	87.92433	12.09350	84.35671	NA_peak_206
chr1	10002603	10004114	1512	10003057	137.00	80.64905	8.57143	77.28008	NA_peak_207
chr1	10057033	10058265	1233	10057492	42.00	27.52251	8.17491	25.08602	NA_peak_208
chr1	10092348	10092678	331	10092559	35.00	8.80733	3.02521	6.63367	NA_peak_209
chr1	10093024	10094087	1064	10093263	130.00	90.62579	10.98993	86.97838	NA_peak_210
chr1	10269824	10270479	656	10270299	139.00	81.65501	8.55746	78.25969	NA_peak_211
chr1	10270679	10271998	1320	10271377	120.00	63.96722	7.39609	60.97703	NA_peak_212
chr1	10438857	10439082	226	10438976	11.00	7.68347	5.12399	5.53241	NA_peak_213
chr1	10440980	10441326	347	10441160	8.00	4.93132	3.84299	2.85145	NA_peak_214
chr1	10447413	10448198	786	10447947	25.00	21.83497	9.92366	19.47005	NA_peak_215
chr1	10458227	10458927	701	10458660	136.00	56.65388	5.55556	53.79811	NA_peak_216
chr1	10459132	10460381	1250	10459307	131.00	52.59108	5.32258	49.80360	NA_peak_217
chr1	10490173	10491471	1299	10491002	131.00	96.04044	11.93490	92.22562	NA_peak_218
chr1	10531935	10533007	1073	10532509	127.00	57.06102	6.02070	54.19819	NA_peak_219
chr1	10534700	10535853	1154	10535413	133.00	61.74314	6.27929	58.79618	NA_peak_220
chr1	10554921	10555361	441	10555206	25.00	23.84539	11.10198	21.45496	NA_peak_221
chr1	10570979	10571190	212	10571087	14.00	10.74554	6.40499	8.53631	NA_peak_222
chr1	10588384	10589054	671	10588885	16.00	12.92898	7.25899	10.68499	NA_peak_223
chr1	10659307	10659609	303	10659438	11.00	7.68347	5.12399	5.53241	NA_peak_224
chr1	10753586	10754610	1025	10753967	91.00	66.31213	11.21951	63.27480	NA_peak_225
chr1	10839493	10839886	394	10839688	19.00	16.38577	8.53999	14.09208	NA_peak_226
chr1	10855115	10855434	320	10855258	41.00	11.36607	3.33863	9.14761	NA_peak_227
chr1	10855634	10857048	1415	10856578	106.00	63.53953	8.56000	60.55783	NA_peak_228
chr1	10926847	10927780	934	10927178	50.00	41.02584	11.80556	38.41233	NA_peak_229
chr1	11002035	11002499	465	11002308	19.00	16.38577	8.53999	14.09208	NA_peak_230
chr1	11004147	11004346	200	11004219	12.00	8.67317	5.55099	6.50171	NA_peak_231
chr1	11071987	11073583	1597	11072898	139.00	90.69598	9.98573	87.04679	NA_peak_232
chr1	11119133	11120027	895	11119846	126.00	74.58679	8.56950	71.36772	NA_peak_233
chr1	11120306	11120947	642	11120492	135.00	83.10357	9.12752	79.66994	NA_peak_234
chr1	11159004	11160336	1333	11159735	135.00	94.21481	11.05691	90.45786	NA_peak_235
chr1	11321900	11322692	793	11322397	133.00	96.70588	11.79578	92.86868	NA_peak_236
chr1	11322898	11323310	413	11323059	102.00	63.71227	9.03509	60.72717	NA_peak_237
chr1	11332753	11332952	200	11332838	40.00	12.04103	3.55286	9.81105	NA_peak_238
chr1	11333258	11334229	972	11333429	140.00	103.60172	12.21837	99.52439	NA_peak_239
chr1	11538667	11539833	1167	11539319	78.00	62.37077	12.66026	59.41162	NA_peak_240
chr1	11714519	11715691	1173	11714720	117.00	81.25810	10.78611	77.87318	NA_peak_241
chr1	11724064	11725129	1066	11724811	82.00	71.11910	14.66431	67.97913	NA_peak_242
chr1	11740555	11741907	1353	11741038	138.00	95.07777	10.85938	91.29392	NA_peak_243
chr1	11751330	11752372	1043	11752036	17.00	12.35606	6.66667	10.12150	NA_peak_244
chr1	11779532	11780100	569	11779873	33.00	33.30529	13.70968	30.79509	NA_peak_245
chr1	11795882	11797188	1307	11796369	123.00	82.42664	10.26490	79.01083	NA_peak_246
chr1	11845160	11845572	413	11845319	34.00	36.11007	14.94498	33.56300	NA_peak_247
chr1	11865216	11866022	807	11865669	112.00	61.73040	7.67663	58.78368	NA_peak_248
chr1	11866219	11866914	696	11866419	142.00	90.94128	9.72789	87.28532	NA_peak_249
chr1	11968054	11969959	1906	11968912	121.00	73.42619	8.84058	70.23440	NA_peak_250
chr1	11985620	11986438	819	11986194	39.00	27.09540	8.65801	24.66428	NA_peak_251
chr1	11986683	11986903	221	11986804	22.00	11.01710	4.95690	8.80391	NA_peak_252
chr1	11994366	11995365	1000	11994961	111.00	88.74464	13.49398	85.15357	NA_peak_253
chr1	12039970	12041146	1177	12040692	136.00	101.90007	12.43194	97.88446	NA_peak_254
chr1	12078976	12079385	410	12079195	60.00	30.63857	6.42105	28.16250	NA_peak_255
chr1	12079538	12080346	809	12079769	136.00	111.16511	14.45148	106.79905	NA_peak_256
chr1	12123228	12123769	542	12123589	9.00	5.80944	4.26999	3.70347	NA_peak_257
chr1	12226760	12227443	684	12227089	31.00	27.86371	11.34752	25.42281	NA_peak_258
chr1	12290177	12291412	1236	12290490	129.00	87.68761	10.55195	84.12686	NA_peak_259
chr1	12609736	12610440	705	12610073	31.00	29.56165	12.30769	27.09936	NA_peak_260
chr1	12655083	12656029	947	12655801	47.00	35.18591	10.12658	32.65112	NA_peak_261
chr1	12656234	12656594	361	12656406	29.00	16.74507	6.30252	14.44672	NA_peak_262
chr1	12675813	12679088	3276	12677351	123.00	32.81785	3.62361	30.31389	NA_peak_263
chr1	13840303	13840737	435	13840494	12.00	8.67317	5.55099	6.50171	NA_peak_264
chr1	14026200	14027455	1256	14026541	116.00	92.31769	13.47926	88.61985	NA_peak_265
chr1	14075219	14075750	532	14075585	108.00	72.59640	10.14898	69.42343	NA_peak_266
chr1	14075925	14076854	930	14076520	96.00	60.12205	8.99815	57.20505	NA_peak_267
chr1	14925368	14925567	200	14925493	10.00	6.72795	4.69699	4.59850	NA_peak_268
chr1	15250237	15250776	540	15250412	51.00	30.33355	7.53623	27.86141	NA_peak_269
chr1	15251123	15251701	579	15251361	88.00	70.51411	13.01170	67.38744	NA_peak_270
chr1	15479069	15481444	2376	15480546	112.00	44.04607	5.14572	41.38980	NA_peak_271
chr1	15505615	15505817	203	15505734	13.00	9.69456	5.97799	7.50379	NA_peak_272
chr1	15527233	15527659	427	15527515	27.00	22.96447	9.92908	20.58514	NA_peak_273
chr1	15528163	15528494	332	15528362	9.00	4.75321	3.59712	2.68738	NA_peak_274
chr1	15573567	15574305	739	15573909	84.00	76.45017	16.03774	73.18624	NA_peak_275
chr1	15598939	15599203	265	15599084	17.00	14.05834	7.68599	11.79753	NA_peak_276
chr1	15682509	15683014	506	15682618	11.00	7.68347	5.12399	5.53241	NA_peak_277
chr1	15735840	15738066	2227	15736973	117.00	51.68287	5.86481	48.91018	NA_peak_278
chr1	15850219	15850812	594	15850490	120.00	47.43771	5.20206	44.73116	NA_peak_279
chr1	15851101	15851368	268	15851231	109.00	39.54357	4.72915	36.95047	NA_peak_280
chr1	15851683	15852330	648	15851827	117.00	45.27781	5.07745	42.60358	NA_peak_281
chr1	15853347	15853966	620	15853561	138.00	61.31487	5.98107	58.37586	NA_peak_282
chr1	15910912	15911826	915	15911236	77.00	67.19012	14.60674	64.13484	NA_peak_283
chr1	15929459	15930520	1062	15929972	130.00	112.12576	15.82126	107.72166	NA_peak_284
chr1	15943496	15943750	255	15943650	62.00	21.34201	4.25101	18.98322	NA_peak_285
chr1	15944092	15945312	1221	15944401	136.00	84.25187	9.21938	80.78704	NA_peak_286
chr1	16010299	16010847	549	16010619	151.00	106.26608	11.34328	102.09355	NA_peak_287
chr1	16011041	16011867	827	16011392	118.00	71.96696	8.88060	68.80814	NA_peak_288
chr1	16084966	16086260	1295	16085525	100.00	71.00771	10.93074	67.87038	NA_peak_289
chr1	16107076	16107366	291	16107273	8.00	4.93132	3.84299	2.85145	NA_peak_290
chr1	16126211	16126751	541	16126629	22.00	8.73269	3.96552	6.56022	NA_peak_291
chr1	16126980	16127831	852	16127399	36.00	20.99627	6.77656	18.64216	NA_peak_292
chr1	16159763	16162369	2607	16161683	132.00	47.25889	4.73310	44.55508	NA_peak_293
