Chr	Start	Stop	NFR_Length	Chr_Length
11	149217	149283	66	666438
11	151011	151153	142	666438
11	152651	152730	79	666438
11	152826	152877	51	666438
11	152990	153259	269	666438
11	153335	153417	82	666438
11	153676	153733	57	666438
11	154147	154199	52	666438
11	154303	154385	82	666438
11	154468	154584	116	666438
11	154843	154959	116	666438
11	155058	155116	58	666438
11	155390	155536	146	666438
11	155950	156006	56	666438
11	158136	158186	50	666438
11	158299	158607	308	666438
11	159264	159334	70	666438
11	159418	159546	128	666438
11	159938	160002	64	666438
11	160414	160472	58	666438
11	160875	160939	64	666438
11	161031	161098	67	666438
11	161216	161275	59	666438
11	161365	161529	164	666438
11	161619	161669	50	666438
11	162389	162478	89	666438
11	162607	162688	81	666438
11	162755	162825	70	666438
11	163426	163502	76	666438
11	163506	163636	130	666438
11	164383	164460	77	666438
11	164480	164851	371	666438
11	166072	166156	84	666438
11	166244	166420	176	666438
11	166502	166559	57	666438
11	166671	166747	76	666438
11	168035	168099	64	666438
11	168360	168414	54	666438
11	168504	168577	73	666438
11	168679	168747	68	666438
11	168834	169022	188	666438
11	169144	169201	57	666438
11	171175	171275	100	666438
11	171340	171409	69	666438
11	171596	171773	177	666438
11	172856	172906	50	666438
11	173139	173192	53	666438
11	173461	173522	61	666438
11	173946	174145	199	666438
11	174242	174293	51	666438
11	174555	174608	53	666438
11	174716	174788	72	666438
11	175717	175826	109	666438
11	176045	176115	70	666438
11	176229	176296	67	666438
11	176365	176439	74	666438
11	176521	176746	225	666438
11	176994	177065	71	666438
11	178210	178411	201	666438
11	178513	178570	57	666438
11	179144	179209	65	666438
11	179286	179362	76	666438
11	179451	179627	176	666438
11	180233	180317	84	666438
11	180352	180515	163	666438
11	180641	180723	82	666438
11	180797	180868	71	666438
11	180974	181050	76	666438
11	181906	181977	71	666438
11	182260	182312	52	666438
11	182425	182520	95	666438
11	182599	182797	198	666438
11	182874	182941	67	666438
11	183196	183275	79	666438
11	183349	183418	69	666438
11	183657	183766	109	666438
11	184531	184610	79	666438
11	184889	184944	55	666438
11	185058	185171	113	666438
11	185432	185497	65	666438
11	185764	185900	136	666438
11	185986	186054	68	666438
11	186183	186248	65	666438
11	186326	186453	127	666438
11	188601	188677	76	666438
11	188770	188951	181	666438
11	189037	189111	74	666438
11	189231	189282	51	666438
11	190822	190886	64	666438
11	191008	191069	61	666438
11	191180	191240	60	666438
11	191494	191689	195	666438
11	191767	191832	65	666438
11	191928	191979	51	666438
11	192448	192501	53	666438
11	192599	192659	60	666438
11	192779	192842	63	666438
11	192944	193008	64	666438
11	193092	193271	179	666438
11	193359	193441	82	666438
11	194693	194757	64	666438
11	194848	194925	77	666438
11	195024	195181	157	666438
11	195278	195350	72	666438
11	195456	195511	55	666438
11	195769	195843	74	666438
11	196101	196298	197	666438
11	197586	197643	57	666438
11	199418	199477	59	666438
11	199568	199623	55	666438
11	199890	199991	101	666438
11	200070	200142	72	666438
11	200252	200385	133	666438
11	200463	200520	57	666438
11	201281	201352	71	666438
11	201458	201640	182	666438
11	201745	201817	72	666438
11	201898	201951	53	666438
11	202058	202123	65	666438
11	202205	202271	66	666438
11	202648	202700	52	666438
11	202703	202862	159	666438
11	202967	203135	168	666438
11	204631	204686	55	666438
11	204949	205152	203	666438
11	205241	205303	62	666438
11	206203	206263	60	666438
11	207217	207271	54	666438
11	207387	207450	63	666438
11	207560	207774	214	666438
11	209737	209799	62	666438
11	209877	210136	259	666438
11	210211	210275	64	666438
11	210376	210439	63	666438
11	210898	210971	73	666438
11	211983	212133	150	666438
11	212176	212236	60	666438
11	212344	212417	73	666438
11	212527	212579	52	666438
11	212676	212861	185	666438
11	213234	213339	105	666438
11	213433	213553	120	666438
11	213977	214044	67	666438
11	214146	214203	57	666438
11	216079	216141	62	666438
11	216399	216585	186	666438
11	216647	216879	232	666438
11	216953	217026	73	666438
11	218054	218159	105	666438
11	218226	218310	84	666438
11	218755	218816	61	666438
11	218905	219031	126	666438
11	219292	219360	68	666438
11	219743	219933	190	666438
11	220023	220081	58	666438
11	220189	220263	74	666438
11	220841	220912	71	666438
11	221442	221493	51	666438
11	222239	222298	59	666438
11	222408	222458	50	666438
11	222577	222654	77	666438
11	222752	222901	149	666438
11	222983	223054	71	666438
11	223165	223231	66	666438
11	223625	223695	70	666438
11	223981	224032	51	666438
11	224144	224244	100	666438
11	225071	225125	54	666438
11	225237	225297	60	666438
11	225393	225446	53	666438
11	225557	225762	205	666438
11	225825	226101	276	666438
11	226196	226269	73	666438
11	226353	226426	73	666438
11	226538	226597	59	666438
11	228570	228633	63	666438
11	229417	229472	55	666438
11	229569	229664	95	666438
11	229668	229758	90	666438
11	229935	230037	102	666438
11	230220	230292	72	666438
11	230320	230633	313	666438
11	230644	230725	81	666438
11	230728	231102	374	666438
11	231228	231424	196	666438
11	231445	231510	65	666438
11	231567	231673	106	666438
11	233535	233617	82	666438
11	233695	233749	54	666438
11	233814	234016	202	666438
11	234309	234377	68	666438
11	235551	235681	130	666438
11	235731	235794	63	666438
11	236730	236819	89	666438
11	236949	237091	142	666438
11	237668	237719	51	666438
11	238572	238755	183	666438
11	242238	242299	61	666438
11	242402	242603	201	666438
11	244575	244639	64	666438
11	245257	245528	271	666438
11	245699	245764	65	666438
11	247082	247139	57	666438
11	247427	247748	321	666438
11	247857	247917	60	666438
11	248008	248213	205	666438
11	248471	248550	79	666438
11	251936	251993	57	666438
11	252762	252818	56	666438
11	254959	255023	64	666438
11	255125	255334	209	666438
11	255565	255620	55	666438
11	256020	256072	52	666438
11	256178	256359	181	666438
11	256636	256694	58	666438
11	257536	257695	159	666438
11	257818	257887	69	666438
11	258073	258894	821	666438
11	259256	259344	88	666438
11	259390	259448	58	666438
11	259822	259876	54	666438
11	260029	260193	164	666438
11	260233	260526	293	666438
11	261566	261721	155	666438
11	261850	261932	82	666438
11	262021	262098	77	666438
11	262880	262967	87	666438
11	263402	263465	63	666438
11	263914	263977	63	666438
11	264082	264262	180	666438
11	265619	265766	147	666438
11	266024	266090	66	666438
11	267721	267834	113	666438
11	267878	267934	56	666438
11	268850	268908	58	666438
11	269023	269095	72	666438
11	269185	269324	139	666438
11	269425	269476	51	666438
11	269624	269676	52	666438
11	269997	270061	64	666438
11	270168	270239	71	666438
11	270329	270447	118	666438
11	270520	270618	98	666438
11	270715	270766	51	666438
11	270883	270937	54	666438
11	271027	271119	92	666438
11	271196	271251	55	666438
11	271352	271505	153	666438
11	271609	271665	56	666438
11	271755	271832	77	666438
11	271914	272013	99	666438
11	272864	273013	149	666438
11	273112	273182	70	666438
11	273456	273514	58	666438
11	273927	273977	50	666438
11	274394	274460	66	666438
11	274698	274893	195	666438
11	275132	275194	62	666438
11	276689	276833	144	666438
11	277457	277521	64	666438
11	277602	277849	247	666438
11	278284	278378	94	666438
11	278504	278644	140	666438
11	278738	278800	62	666438
11	279738	279813	75	666438
11	279858	280090	232	666438
11	280213	280263	50	666438
11	281872	281935	63	666438
11	282035	282178	143	666438
11	282295	282505	210	666438
11	284131	284212	81	666438
11	284304	284560	256	666438
11	284658	284723	65	666438
11	284829	284889	60	666438
11	284971	285037	66	666438
11	285656	285719	63	666438
11	285829	285922	93	666438
11	285998	286100	102	666438
11	286448	286508	60	666438
11	286611	286665	54	666438
11	286969	287019	50	666438
11	287383	287461	78	666438
11	287939	288017	78	666438
11	288272	288471	199	666438
11	288561	288618	57	666438
11	289204	289262	58	666438
11	290486	290554	68	666438
11	290655	290722	67	666438
11	290818	291013	195	666438
11	291103	291167	64	666438
11	291446	291498	52	666438
11	291916	291973	57	666438
11	292092	292149	57	666438
11	292396	292489	93	666438
11	293564	293638	74	666438
11	293737	293801	64	666438
11	293905	293965	60	666438
11	294056	294230	174	666438
11	294497	294560	63	666438
11	294682	294744	62	666438
11	295034	295089	55	666438
11	295529	295583	54	666438
11	295694	295756	62	666438
11	295851	296029	178	666438
11	296135	296190	55	666438
11	298475	298537	62	666438
11	298644	298769	125	666438
11	298811	299032	221	666438
11	299090	299186	96	666438
11	299288	299364	76	666438
11	299740	299798	58	666438
11	301415	301471	56	666438
11	301568	301677	109	666438
11	301772	301827	55	666438
11	302275	302385	110	666438
11	302465	302526	61	666438
11	302566	302638	72	666438
11	302640	302730	90	666438
11	302833	302929	96	666438
11	303015	303107	92	666438
11	303203	303262	59	666438
11	303850	303952	102	666438
11	304362	304477	115	666438
11	304623	304679	56	666438
11	305780	305843	63	666438
11	306069	306128	59	666438
11	306241	306294	53	666438
11	306401	306463	62	666438
11	306547	306642	95	666438
11	306722	306930	208	666438
11	307505	307569	64	666438
11	307675	307798	123	666438
11	308203	308264	61	666438
11	308376	308759	383	666438
11	309205	309271	66	666438
11	309358	309436	78	666438
11	309558	309753	195	666438
11	310018	310080	62	666438
11	312781	312850	69	666438
11	312978	313124	146	666438
11	313156	313241	85	666438
11	313350	313410	60	666438
11	313505	313566	61	666438
11	313650	313751	101	666438
11	314154	314362	208	666438
11	314439	314513	74	666438
11	314954	315081	127	666438
11	315147	315216	69	666438
11	315480	315547	67	666438
11	315752	315889	137	666438
11	315901	316006	105	666438
11	316465	316520	55	666438
11	316648	316715	67	666438
11	316781	316938	157	666438
11	317043	317189	146	666438
11	317297	317359	62	666438
11	317646	317700	54	666438
11	320091	320150	59	666438
11	320261	320346	85	666438
11	320395	320459	64	666438
11	320483	320598	115	666438
11	321003	321065	62	666438
11	321146	321234	88	666438
11	321339	321623	284	666438
11	321889	321969	80	666438
11	322004	322135	131	666438
11	322176	322258	82	666438
11	322290	322344	54	666438
11	322384	322544	160	666438
11	322618	322694	76	666438
11	322767	322891	124	666438
11	323035	323094	59	666438
11	323533	323585	52	666438
11	324902	324978	76	666438
11	325062	325170	108	666438
11	325253	325416	163	666438
11	325682	325752	70	666438
11	325873	325967	94	666438
11	327127	327761	634	666438
11	328825	328879	54	666438
11	328982	329054	72	666438
11	329161	329306	145	666438
11	329382	329528	146	666438
11	329619	329775	156	666438
11	329873	329934	61	666438
11	330204	330260	56	666438
11	330344	330496	152	666438
11	332883	332941	58	666438
11	333330	333392	62	666438
11	333503	333575	72	666438
11	333664	333904	240	666438
11	334604	334816	212	666438
11	334876	334953	77	666438
11	335675	335735	60	666438
11	335841	335948	107	666438
11	336058	336130	72	666438
11	338346	338443	97	666438
11	338498	338784	286	666438
11	339152	339322	170	666438
11	339885	339935	50	666438
11	340201	340369	168	666438
11	340389	340488	99	666438
11	340607	340687	80	666438
11	340717	340827	110	666438
11	340887	340947	60	666438
11	341772	341905	133	666438
11	342166	342219	53	666438
11	342256	342366	110	666438
11	342395	342493	98	666438
11	345479	345534	55	666438
11	345618	345686	68	666438
11	345815	345866	51	666438
11	345984	346035	51	666438
11	346438	346640	202	666438
11	346751	346816	65	666438
11	346906	346983	77	666438
11	347611	347662	51	666438
11	348380	348432	52	666438
11	348529	348612	83	666438
11	348714	348783	69	666438
11	348873	349056	183	666438
11	349143	349242	99	666438
11	349483	349546	63	666438
11	350689	350746	57	666438
11	352169	352239	70	666438
11	352337	352400	63	666438
11	352483	352689	206	666438
11	352906	353049	143	666438
11	353160	353217	57	666438
11	353317	353368	51	666438
11	354756	356062	1306	666438
11	356317	356369	52	666438
11	357602	357693	91	666438
11	357811	357989	178	666438
11	358073	358140	67	666438
11	359151	359233	82	666438
11	359339	359392	53	666438
11	359483	359669	186	666438
11	359753	359830	77	666438
11	359945	360003	58	666438
11	360701	360765	64	666438
11	361160	361250	90	666438
11	361357	361422	65	666438
11	361516	361692	176	666438
11	361920	362120	200	666438
11	362381	362441	60	666438
11	362537	362602	65	666438
11	362995	363066	71	666438
11	364046	364250	204	666438
11	364368	364426	58	666438
11	364865	365027	162	666438
11	365138	365193	55	666438
11	365300	365353	53	666438
11	368854	368919	65	666438
11	369274	369394	120	666438
11	371180	371346	166	666438
11	371477	371527	50	666438
11	372081	372149	68	666438
11	372273	372337	64	666438
11	373052	373107	55	666438
11	373377	373434	57	666438
11	373558	373608	50	666438
11	373713	373785	72	666438
11	373855	374036	181	666438
11	374891	375057	166	666438
11	375179	375242	63	666438
11	375342	375411	69	666438
11	375667	375731	64	666438
11	375852	375921	69	666438
11	377224	377289	65	666438
11	378155	378236	81	666438
11	378299	378402	103	666438
11	378483	378573	90	666438
11	378674	378763	89	666438
11	378865	378934	69	666438
11	379021	379103	82	666438
11	379231	379281	50	666438
11	379390	379514	124	666438
11	379546	379644	98	666438
11	381683	381946	263	666438
11	381974	382200	226	666438
11	384482	385114	632	666438
11	385194	385363	169	666438
11	385470	385529	59	666438
11	385800	385855	55	666438
11	386873	387114	241	666438
11	387180	387242	62	666438
11	387350	387402	52	666438
11	388133	388187	54	666438
11	388474	388537	63	666438
11	388627	388817	190	666438
11	389507	389624	117	666438
11	389707	389771	64	666438
11	389904	389964	60	666438
11	390403	390475	72	666438
11	390682	390744	62	666438
11	391308	391382	74	666438
11	391475	391542	67	666438
11	391954	392093	139	666438
11	393066	393347	281	666438
11	393447	393511	64	666438
11	393638	393698	60	666438
11	394279	394348	69	666438
11	394729	394796	67	666438
11	396130	396183	53	666438
11	396293	396358	65	666438
11	396474	396548	74	666438
11	396808	396969	161	666438
11	397051	397114	63	666438
11	397257	397308	51	666438
11	398243	398459	216	666438
11	398521	398581	60	666438
11	398676	398744	68	666438
11	401763	401943	180	666438
11	402065	402135	70	666438
11	403075	403149	74	666438
11	403241	403294	53	666438
11	403404	403460	56	666438
11	403563	403703	140	666438
11	403969	404055	86	666438
11	404300	404370	70	666438
11	405461	405511	50	666438
11	405873	405955	82	666438
11	406051	406138	87	666438
11	406382	406461	79	666438
11	406713	406785	72	666438
11	406878	407130	252	666438
11	407596	407675	79	666438
11	407748	408082	334	666438
11	408188	408246	58	666438
11	408358	408410	52	666438
11	409004	409056	52	666438
11	410552	410604	52	666438
11	411170	411248	78	666438
11	411575	411635	60	666438
11	412137	412208	71	666438
11	413193	413255	62	666438
11	415959	416010	51	666438
11	416102	416177	75	666438
11	416430	416490	60	666438
11	416600	416776	176	666438
11	416858	416999	141	666438
11	417711	417865	154	666438
11	417967	418043	76	666438
11	418304	418371	67	666438
11	418467	418524	57	666438
11	420011	420087	76	666438
11	420207	420257	50	666438
11	420348	420427	79	666438
11	420531	420610	79	666438
11	420705	420773	68	666438
11	420855	420965	110	666438
11	421017	421091	74	666438
11	424818	424881	63	666438
11	424955	425020	65	666438
11	425292	425345	53	666438
11	425460	425532	72	666438
11	425639	425742	103	666438
11	425764	425852	88	666438
11	426696	426836	140	666438
11	428360	428767	407	666438
11	428777	428910	133	666438
11	429178	429232	54	666438
11	429807	429898	91	666438
11	430155	430209	54	666438
11	430298	430457	159	666438
11	430959	431544	585	666438
11	432403	432503	100	666438
11	432539	432620	81	666438
11	432689	432762	73	666438
11	434459	434563	104	666438
11	434664	434864	200	666438
11	435132	435185	53	666438
11	436502	436553	51	666438
11	436644	436697	53	666438
11	436842	436906	64	666438
11	437166	437337	171	666438
11	437445	437523	78	666438
11	438311	438362	51	666438
11	438827	438890	63	666438
11	438996	439048	52	666438
11	439155	439385	230	666438
11	439509	439584	75	666438
11	439657	439767	110	666438
11	439871	439995	124	666438
11	440007	440187	180	666438
11	440403	440490	87	666438
11	442106	442170	64	666438
11	442438	442626	188	666438
11	442727	442800	73	666438
11	442919	442971	52	666438
11	444578	444643	65	666438
11	444707	444937	230	666438
11	446172	446546	374	666438
11	447377	447434	57	666438
11	447519	447620	101	666438
11	447697	447917	220	666438
11	447970	448070	100	666438
11	448179	448247	68	666438
11	448369	448434	65	666438
11	449572	449637	65	666438
11	449899	449990	91	666438
11	450095	450146	51	666438
11	450248	450298	50	666438
11	450555	450625	70	666438
11	450876	451055	179	666438
11	451158	451211	53	666438
11	451612	451832	220	666438
11	452081	452144	63	666438
11	453629	453688	59	666438
11	453777	453897	120	666438
11	453948	454073	125	666438
11	455813	455890	77	666438
11	456687	456763	76	666438
11	456881	456987	106	666438
11	457139	457224	85	666438
11	457334	457390	56	666438
11	457617	457675	58	666438
11	458095	458275	180	666438
11	458298	458426	128	666438
11	458496	458566	70	666438
11	460826	460885	59	666438
11	460987	461216	229	666438
11	461297	461354	57	666438
11	462116	462169	53	666438
11	462441	462683	242	666438
11	462960	463020	60	666438
11	463228	463394	166	666438
11	463468	463522	54	666438
11	464658	464761	103	666438
11	464863	464965	102	666438
11	465069	465138	69	666438
11	465525	465595	70	666438
11	465693	465777	84	666438
11	465859	466040	181	666438
11	466100	466198	98	666438
11	466284	466354	70	666438
11	466466	466536	70	666438
11	467736	467793	57	666438
11	467885	467972	87	666438
11	468066	468140	74	666438
11	468260	468322	62	666438
11	468433	468570	137	666438
11	468954	469024	70	666438
11	469117	469309	192	666438
11	469729	469782	53	666438
11	469891	469949	58	666438
11	470198	470265	67	666438
11	471157	471219	62	666438
11	471795	471861	66	666438
11	472451	472515	64	666438
11	472778	472841	63	666438
11	472936	473043	107	666438
11	473145	473263	118	666438
11	473369	473424	55	666438
11	473537	473601	64	666438
11	475062	475144	82	666438
11	475594	475728	134	666438
11	476160	476217	57	666438
11	477468	477531	63	666438
11	477818	477943	125	666438
11	478353	478410	57	666438
11	478658	478792	134	666438
11	478903	478955	52	666438
11	479073	479141	68	666438
11	479676	479780	104	666438
11	481681	481733	52	666438
11	482012	482098	86	666438
11	482189	482255	66	666438
11	482519	482587	68	666438
11	482849	483015	166	666438
11	484656	484778	122	666438
11	484839	484910	71	666438
11	486739	486806	67	666438
11	486913	486972	59	666438
11	487053	487377	324	666438
11	487485	487549	64	666438
11	488882	488940	58	666438
11	489220	489293	73	666438
11	489371	489563	192	666438
11	489663	489731	68	666438
11	489817	489917	100	666438
11	489993	490073	80	666438
11	490180	490266	86	666438
11	490311	490429	118	666438
11	490503	490574	71	666438
11	490662	490758	96	666438
11	490812	490952	140	666438
11	492333	492387	54	666438
11	492808	492861	53	666438
11	492975	493042	67	666438
11	493135	493217	82	666438
11	493306	493503	197	666438
11	493769	493843	74	666438
11	493940	494001	61	666438
11	497011	497149	138	666438
11	497183	497307	124	666438
11	497749	497800	51	666438
11	497914	497980	66	666438
11	498075	498164	89	666438
11	498542	498603	61	666438
11	499505	499641	136	666438
11	499695	499851	156	666438
11	500120	500178	58	666438
11	500284	500369	85	666438
11	500457	500531	74	666438
11	500637	500693	56	666438
11	500834	500891	57	666438
11	503482	503534	52	666438
11	505012	505080	68	666438
11	505643	505715	72	666438
11	506153	506290	137	666438
11	506404	506472	68	666438
11	506746	506809	63	666438
11	507219	507273	54	666438
11	507365	507548	183	666438
11	507659	507752	93	666438
11	510137	510191	54	666438
11	510281	510415	134	666438
11	511140	511195	55	666438
11	511300	511373	73	666438
11	511455	511609	154	666438
11	511706	511759	53	666438
11	512017	512068	51	666438
11	512663	512716	53	666438
11	512824	512976	152	666438
11	513099	513174	75	666438
11	513418	513493	75	666438
11	513594	513778	184	666438
11	513893	513947	54	666438
11	514076	514313	237	666438
11	514594	514727	133	666438
11	516454	516568	114	666438
11	516584	516785	201	666438
11	516889	517062	173	666438
11	517639	517692	53	666438
11	517738	517870	132	666438
11	518004	518083	79	666438
11	518149	518204	55	666438
11	518379	518451	72	666438
11	518453	518672	219	666438
11	518706	518797	91	666438
11	518823	518934	111	666438
11	519056	519145	89	666438
11	520395	520461	66	666438
11	521379	521580	201	666438
11	521670	521733	63	666438
11	522832	522898	66	666438
11	523159	523215	56	666438
11	523630	523814	184	666438
11	524753	524931	178	666438
11	526310	526480	170	666438
11	526916	526985	69	666438
11	527105	527156	51	666438
11	527284	527409	125	666438
11	529787	529841	54	666438
11	530142	530233	91	666438
11	530306	530472	166	666438
11	530551	530617	66	666438
11	531056	531125	69	666438
11	531398	531454	56	666438
11	531874	532026	152	666438
11	532606	532658	52	666438
11	533093	533152	59	666438
11	533300	533401	101	666438
11	533522	533651	129	666438
11	534946	535090	144	666438
11	536416	536468	52	666438
11	538034	538095	61	666438
11	546973	547025	52	666438
11	547291	547365	74	666438
11	547458	547516	58	666438
11	547615	547803	188	666438
11	548227	548277	50	666438
11	548698	548752	54	666438
11	548827	548946	119	666438
11	548970	549198	228	666438
11	550420	550472	52	666438
11	550990	551297	307	666438
11	551368	551435	67	666438
11	552028	552221	193	666438
11	552325	552386	61	666438
11	552524	552581	57	666438
11	553817	553906	89	666438
11	554309	554576	267	666438
11	555866	555943	77	666438
11	555945	556050	105	666438
11	556072	556131	59	666438
11	556210	556282	72	666438
11	556723	556785	62	666438
11	556862	556954	92	666438
11	557045	557200	155	666438
11	557286	557356	70	666438
11	557458	557531	73	666438
11	557636	557699	63	666438
11	557819	557874	55	666438
11	558996	559221	225	666438
11	560315	560367	52	666438
11	560852	560923	71	666438
11	561313	561385	72	666438
11	561634	561698	64	666438
11	561948	562146	198	666438
11	562413	562467	54	666438
11	562555	562636	81	666438
11	563345	563420	75	666438
11	564349	564448	99	666438
11	564533	564614	81	666438
11	564714	564797	83	666438
11	565060	565117	57	666438
11	565402	565453	51	666438
11	565563	565750	187	666438
11	566887	567017	130	666438
